external_gene_name,logFC_rna,padj_rna,CpG_Beta_diff,logFC_meth,padj_meth,ensembl_gene_id,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,RG1_All_filtered,RG2_Changes_filtered,RG3_Translation_filtered,RG4_Detection_filtered,Methylation,RNA,Protein,RG1_All,RG2_Changes,RG3_Translation
METTL25,-0.0588998674667151,0.282493214938501,,,,ENSG00000127720,84190.0,METTL25,-0.0532771216986326,0.17570599751755,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
RAB18,-0.0514253057165197,0.282749394096674,,,,ENSG00000099246,22931.0,RAB18,-0.0528876818890102,0.0734483853638966,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
PLAA,0.0439119848288926,0.283197689805898,,,,ENSG00000137055,9373.0,PLAA,-0.0733329749490594,1.56555748802476e-07,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
PER3,-0.106277212929861,0.283225744557947,-0.1257496965378214,-2.92024930770988,1.1384133228894301e-145,ENSG00000049246,8863.0,PER3,-0.0884866271125475,0.0060898975419856,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
RAB28,-0.0369207260197518,0.284686047265853,-0.069608361656213,-1.01331013829858,7.474297426469701e-47,ENSG00000157869,9364.0,RAB28,0.0949367349874114,1.45681202919849e-05,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
RABGAP1,-0.0483750968731253,0.284717132113591,-0.0274935926426855,-0.150815811922472,0.0232195662062623,ENSG00000011454,23637.0,RABGAP1,-0.340410859403094,1.55415254299091e-51,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
TOP1MT,0.0716062460438902,0.284748145931071,-0.2095534734797015,-1.37127049566402,7.25041554813955e-23,ENSG00000184428,116447.0,TOP1MT,-0.235708168524513,1.42173078615532e-07,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
SOX9,-0.17982381989084,0.285733551554379,-0.1952347605082199,-1.24391629667216,4.0192682933780397e-28,ENSG00000125398,6662.0,SOX9,0.215900505813257,3.87738225808596e-10,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
GLOD4,0.0468881274507093,0.285938073042795,-0.1581009678848379,-1.33521067978516,1.1836968158852e-53,ENSG00000167699,51031.0,GLOD4,-0.178660088309085,7.91648182499111e-15,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
MVK,0.11972559370122,0.286242667913401,0.0959627224499701,0.771635680968212,1.1497550555171801e-20,ENSG00000110921,4598.0,MVK,-0.490283567062207,4.34238399776005e-35,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
RTL8C,0.0503999834220148,0.286631078138055,-0.0747594233164703,-1.74447618626365,1.27065303658069e-10,ENSG00000134590,8933.0,RTL8C,0.131564424068079,1.15958136085752e-08,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
MBLAC2,-0.0649244276937956,0.286884154008707,-0.0506607340457782,-0.973542466809766,5.48759242894172e-54,ENSG00000176055,153364.0,MBLAC2,-0.151509229339147,6.15290582947305e-09,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
HSD17B13,0.208047590154539,0.287149896364986,-0.1791042089586396,-1.119747925355,4.01429306912519e-31,ENSG00000170509,345275.0,HSD17B13,0.301434411086603,0.0001254390586183,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
REPS2,0.169716760282951,0.287309345922833,,,,ENSG00000169891,9185.0,REPS2,-0.0947433345319409,0.0223051939561424,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
ZBTB16,-0.191276449844507,0.287500940564858,-0.197219913078359,-2.07987686897248,1.77519785800237e-38,ENSG00000109906,7704.0,ZBTB16,0.0563503499940065,0.0373471267258911,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
RER1,-0.0479240865431221,0.287500940564858,-0.1604249220650295,-1.15521931152205,1.1605649422536399e-26,ENSG00000157916,11079.0,RER1,0.0797783219465446,0.008247698145849,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
ZBTB47,-0.0806581744988704,0.287769044977828,-0.3124717122586878,-3.08457782302891,1.0739042797391201e-148,ENSG00000114853,92999.0,ZBTB47,0.0041940932518279,0.934196770080519,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
AGO2,0.0674860497750596,0.288103067713175,-0.2905334535879811,-3.31552378042595,5.7274527721783695e-83,ENSG00000123908,27161.0,AGO2,0.349888518785588,2.0667660823024e-41,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
SCAF1,-0.0613122323489025,0.290420534122857,-0.3210841575456511,-2.55572644761017,2.54802891624751e-100,ENSG00000126461,58506.0,SCAF1,0.249713573055258,5.6023055538081694e-36,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
RNF141,0.0395892770216625,0.292732528731601,-0.1264543569269089,-1.09177240045986,1.84124126862233e-36,ENSG00000110315,50862.0,RNF141,0.0949297015462064,2.01396757717183e-10,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
CTSB,0.120284527507012,0.292987814688582,-0.2544428692491994,-1.72656069746815,2.0776716258030698e-33,ENSG00000164733,1508.0,CTSB,-0.45573592855867,9.08816623363302e-19,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
STX16,0.0795039846526046,0.294577104554631,0.1944566283691604,1.2373786436626,1.05769492879356e-36,ENSG00000124222,8675.0,STX16,0.142833442406806,1.99571561383689e-09,Hypermethylation + RNA No change + Protein significant-positive,None,None,None,Hypermethylation,RNA No change,Protein significant-positive,Hypermethylation + RNA No change + Protein significant-positive,None,None
GPSM1,-0.0947851361264861,0.294613740453747,-0.0738973246420325,-0.448866167478377,8.880362279422489e-11,ENSG00000160360,26086.0,GPSM1,0.0496868422487581,0.0997520679105248,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
CTNND1,0.0418257257516115,0.294774962786064,,,,ENSG00000198561,1500.0,CTNND1,-0.161147387037738,4.35165886061948e-18,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
GALNT6,-0.10829886895618,0.29481703169113,,,,ENSG00000139629,11226.0,GALNT6,0.0660823317354838,0.173658832210718,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
STK26,0.110503809621308,0.295473862174414,-0.2036828401736132,-1.23815933670281,2.60333872856548e-15,ENSG00000134602,51765.0,STK26,-0.112607528466977,0.009751217426748,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
PMFBP1,0.150477938714408,0.295670798690075,-0.1187486230011061,-1.0881931025329,8.55528700450348e-33,ENSG00000118557,83449.0,PMFBP1,0.89550749610452,1.64694513283012e-29,Hypomethylation + RNA No change + Protein UP,TMDE,TMDE,TMDE,Hypomethylation,RNA No change,Protein UP,Hypomethylation + RNA No change + Protein UP,TMDE,TMDE
HNRNPLL,0.0470888303746662,0.296138970060717,-0.1232466005263428,-0.792009707288095,5.20153233967476e-11,ENSG00000143889,92906.0,HNRNPLL,-0.145964140417211,3.79724785284637e-14,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
TIMM9,0.0597199092945836,0.296421390738261,,,,ENSG00000100575,26520.0,TIMM9,-0.684477034639815,3.4937304151807e-43,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Methylation No change,RNA No change,Protein DOWN,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS
TEX2,0.0862147015570253,0.297218792715854,-0.1502902675647719,-0.977447265672338,2.4759094743984506e-21,ENSG00000136478,55852.0,TEX2,0.0893362603380058,0.0163923589152406,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
ZFPM1,-0.084730257442611,0.297218792715854,-0.1904771636564262,-1.44727474129296,8.39438297294189e-35,ENSG00000179588,161882.0,ZFPM1,0.0581250533381286,0.302074875841843,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
RWDD2A,-0.0599813620931691,0.297778728071965,0.1184745593551199,1.32046766288388,2.82448637080201e-29,ENSG00000013392,112611.0,RWDD2A,0.140612164688962,0.0010040442185898,Hypermethylation + RNA No change + Protein significant-positive,None,None,None,Hypermethylation,RNA No change,Protein significant-positive,Hypermethylation + RNA No change + Protein significant-positive,None,None
ZNF316,-0.0505786303607393,0.298110773926079,,,,ENSG00000205903,100131017.0,ZNF316,0.0613832530264877,0.0112716944650202,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
FN3KRP,-0.0484616531746074,0.298263086776571,-0.0866111036957258,-1.07019648803742,1.0767765239572e-42,ENSG00000141560,79672.0,FN3KRP,-0.0416613243446273,0.17975699699614,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
U2AF1L5,-0.3549988,0.2984096,,,,ENSG00000275895,102724594.0,U2AF1L5,-0.0023784022533867,0.918086900350348,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
TALDO1,0.0788901916729244,0.300814550745008,,,,ENSG00000177156,6888.0,TALDO1,-0.13763326860842,8.420872185059001e-11,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
STXBP6,0.191482476065062,0.300835755970663,-0.2265402067400888,-1.63793209759357,5.01254409563813e-45,ENSG00000168952,29091.0,STXBP6,-0.107446956730193,0.0696279219208622,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
AKR1C2,0.206177888755387,0.301186694256611,-0.288477391466247,-1.91792478612883,1.797444161435e-78,ENSG00000151632,1646.0,AKR1C2,-0.172647472282011,0.0479776657724492,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
MYD88,0.0738290572437851,0.301256806053429,-0.1444482213184488,-1.59456807157274,2.03007832412743e-53,ENSG00000172936,4615.0,MYD88,0.230507150904951,1.16628163339366e-27,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
PPP1R14A,-0.167531193030437,0.301557624368208,0.2122240346749939,2.12711782645282,5.2001494765395e-31,ENSG00000167641,94274.0,PPP1R14A,-0.267308283591037,3.33229174203943e-05,Hypermethylation + RNA No change + Protein significant-negative,None,None,None,Hypermethylation,RNA No change,Protein significant-negative,Hypermethylation + RNA No change + Protein significant-negative,None,None
TM9SF2,0.04418435813201,0.301576908948728,-0.0588791071731429,-0.826209942536937,6.137768305396129e-36,ENSG00000125304,9375.0,TM9SF2,0.214324715330217,4.6854857072093405e-14,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
GREM1,0.288096058355304,0.301587970004716,,,,ENSG00000166923,26585.0,GREM1,-0.302453371112823,0.0005193737171341,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
GCLC,-0.0695245129840918,0.302695929453182,,,,ENSG00000001084,2729.0,GCLC,0.117073612591373,0.0013500445765244,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
CLIP1,-0.0585607085963246,0.302796219381567,-0.0880823860065505,-0.699399260393421,5.85454774236738e-15,ENSG00000130779,6249.0,CLIP1,-0.0729672815609009,0.0001167539820355,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
SUZ12,-0.0349615456512581,0.303625510952236,-0.0510947051858706,-0.702375037592511,2.69848971173409e-13,ENSG00000178691,23512.0,SUZ12,0.0794170813855914,0.0010262504950026,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
KLF3,0.0481049982576601,0.304604186341567,,,,ENSG00000109787,51274.0,KLF3,0.0472919596127077,0.105492927823741,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
ANKHD1-EIF4EBP3,0.05348991,0.3047486,0.0286975642119244,0.439335857040831,1.83114514408238e-08,ENSG00000254996,404734.0,ANKHD1-EIF4EBP3,0.211907979659676,7.1334729445193e-44,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
SLC12A9,0.0523783715315878,0.30528449948781,-0.3991123133565582,-2.64827887345138,9.162080115455112e-98,ENSG00000146828,56996.0,SLC12A9,0.0542139194534327,0.0643471068660785,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
TENM4,-0.151968239025744,0.305302429214096,-0.3155752221687397,-2.01668703756102,2.18588580428024e-71,ENSG00000149256,26011.0,TENM4,0.0506314970634064,0.256788582029348,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
CYBRD1,-0.121130695258609,0.305482425564358,,,,ENSG00000071967,79901.0,CYBRD1,-0.342886050713096,2.31976569707568e-10,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
COMMD9,0.0417339062339626,0.30555807009054,-0.0194128464381376,-0.339171104213834,1.45790135096123e-08,ENSG00000110442,29099.0,COMMD9,-0.391448042068759,2.81431785548278e-51,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
SULT1A1,0.115099331628879,0.306135129266675,,,,ENSG00000196502,6817.0,SULT1A1,-0.113665519597268,0.045676180725679,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
ANKS3,0.0435406661955958,0.3071590383636,-0.0157395397757974,-0.293761911990244,5.972456297901221e-09,ENSG00000168096,124401.0,ANKS3,0.298849510036992,5.08289399326451e-15,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
SH3BP5,-0.0828167163842698,0.30781063956896,-0.3598044621200248,-2.43240801120422,1.15760937798789e-48,ENSG00000131370,9467.0,SH3BP5,-0.347185960685603,4.05087759077432e-23,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
SNRNP70,0.0433044879479721,0.308538956227767,-0.0470025864796016,-0.840034797281791,3.21708187370644e-38,ENSG00000104852,6625.0,SNRNP70,-0.0116027184466028,0.486230339204808,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
STK3,0.0486632381798576,0.308619854500538,-0.1985565937288392,-2.01511650000907,5.07440597342933e-97,ENSG00000104375,6788.0,STK3,0.142178710296054,2.1415030381108e-15,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
TESC,0.18055715681313,0.308946462647368,-0.1863874177216369,-2.63929841013493,1.54732432339961e-56,ENSG00000088992,54997.0,TESC,0.0474354512765193,0.409390770674677,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
CTU1,0.079574009631071,0.309017069117635,-0.0517015123243194,-0.763082096705448,1.65666986034997e-29,ENSG00000142544,90353.0,CTU1,0.165628598720396,2.19986919014351e-05,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
INMT,-0.1714819,0.309937,-0.2768689052866469,-1.74393007155529,1.07865846363308e-62,ENSG00000241644,11185.0,INMT,0.0118714867497344,0.903021292558354,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
CACTIN,0.0450724573994875,0.311080595645274,-0.0213769833965191,-0.889351395639174,7.0547903081233e-38,ENSG00000105298,58509.0,CACTIN,0.204716571399334,3.35552640097627e-13,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
UTY,-0.369421216622634,0.311408843329023,0.010089939392257,0.325657099566532,0.02592167489947,ENSG00000183878,7404.0,UTY,0.191968796595949,0.0054711448669248,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
SGSM3,-0.0338804811864065,0.312073623733477,-0.0426594595898524,-0.617936314624868,4.4686397727504005e-20,ENSG00000100359,27352.0,SGSM3,0.115206256742179,0.0036495890731692,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
SMARCD1,-0.0448620131912674,0.312118509924888,-0.0699602145765751,-0.914757077655104,5.700361207625797e-35,ENSG00000066117,6602.0,SMARCD1,-0.0348388840944506,0.0333836086942373,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
SLC5A8,0.2734458,0.3157644,0.120722996007679,0.752395224482725,3.0809393968199003e-16,ENSG00000256870,160728.0,SLC5A8,-1.20210235287067,3.46325887996318e-29,Hypermethylation + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Hypermethylation,RNA No change,Protein DOWN,Hypermethylation + RNA No change + Protein DOWN,TMDS,TMDS
ANKIB1,-0.0642211937728149,0.316052585468415,-0.0342216354183189,-0.7235557334856,2.12799817813723e-45,ENSG00000001629,54467.0,ANKIB1,-0.457978660884529,2.42726829944189e-37,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
VPS36,-0.0358513215606359,0.319303639219267,-0.0380353711369942,-0.466815428616213,1.0922802773020501e-10,ENSG00000136100,51028.0,VPS36,-0.0519091154261075,0.0048463909394324,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
RMC1,-0.0457643093069835,0.320865156470113,0.0236278652950037,0.253591394263283,0.0054869257054738,ENSG00000141452,29919.0,RMC1,-0.0138033285388952,0.396047095477099,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
PITPNB,-0.0506025300912263,0.321241227613138,-0.3340369603877877,-2.19177169471009,6.60197953513375e-59,ENSG00000180957,23760.0,PITPNB,0.357315959486994,2.12660738180623e-48,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
SIRT7,0.0440286744753279,0.323155795251092,-0.1005459630560134,-0.786539803553229,1.01712707028456e-33,ENSG00000187531,51547.0,SIRT7,0.140681065563946,0.0402691769142051,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
TTPAL,0.0657474148756333,0.324717162312444,-0.1605058043575388,-1.72046404062001,1.96105811619131e-43,ENSG00000124120,79183.0,TTPAL,-0.0533715953493958,0.0284723233174759,Hypomethylation + RNA No change + Protein significant-negative,None,None,None,Hypomethylation,RNA No change,Protein significant-negative,Hypomethylation + RNA No change + Protein significant-negative,None,None
SELENOI,-0.0564428666160006,0.324814925376719,-0.1949501583843884,-1.84303632516491,5.57701077438345e-63,ENSG00000138018,85465.0,SELENOI,0.0059372312117955,0.895506804030205,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
NCBP3,0.0316013711294856,0.326274484423727,-0.0767699860550257,-1.04541416357006,4.0816873779213696e-42,ENSG00000074356,55421.0,NCBP3,-0.0140957425386526,0.427915647885412,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
TEX30,0.0776832567632842,0.327209087493174,0.0517957243465582,0.421939103922217,6.49588786231458e-06,ENSG00000151287,93081.0,TEX30,0.174044137600383,5.51010974571215e-09,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
KTI12,0.0413610782592623,0.327209087493174,-0.0078771248249584,-0.193021534095176,7.21132332528195e-08,ENSG00000198841,112970.0,KTI12,0.0162729082099153,0.371013232124294,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
DVL1,0.071513613781565,0.327532444771931,,,,ENSG00000107404,1855.0,DVL1,-0.167364331431775,8.04857472613669e-10,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
DTWD1,0.0484351355389889,0.328135441806081,,,,ENSG00000104047,56986.0,DTWD1,0.200713574035608,1.98885329751766e-07,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
TSPAN9,0.0707426892662418,0.328276733947394,,,,ENSG00000011105,10867.0,TSPAN9,-0.483086401773942,3.60603445864932e-16,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
SMARCC2,-0.0350320081485577,0.328314005006583,-0.0340824109150184,-0.9987058835824,1.08060203890209e-20,ENSG00000139613,6601.0,SMARCC2,0.070273570658038,7.37477472386849e-05,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
NT5C3B,0.0637318102745745,0.328473612483993,-0.0604661332989646,-0.905874470046386,3.90415514451515e-27,ENSG00000141698,115024.0,NT5C3B,-0.174682509888531,4.80204958292549e-11,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
INHBC,0.225596208034224,0.329240132284847,-0.1584168483492274,-1.08050768358467,4.90494340210809e-20,ENSG00000175189,3626.0,INHBC,-1.17895457607793,1.84264848397672e-38,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Hypomethylation,RNA No change,Protein DOWN,Hypomethylation + RNA No change + Protein DOWN,TMDS,TMDS
SPOCK1,0.237793263183343,0.329960689649844,-0.4389316703502783,-2.87626459866812,7.09235638988701e-92,ENSG00000152377,6695.0,SPOCK1,0.193655084501977,0.0008435907958186,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
AGT,0.19012318486276,0.331692026843643,-0.2923751757092656,-1.30528869145635,5.47390771847234e-24,ENSG00000135744,183.0,AGT,0.0211816979628659,0.726700034857816,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
CAPNS1,-0.0336221991397106,0.332110154594401,-0.0518662376645122,-0.563400433652537,1.0949402460783e-26,ENSG00000126247,826.0,CAPNS1,0.10218865389277,1.19254615140648e-09,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
TGFB1I1,0.0919815332089178,0.333075211630161,,,,ENSG00000140682,7041.0,TGFB1I1,-0.409666884813617,7.56406096034347e-14,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
ARSA,0.0668161784243545,0.3335495051182,-0.038369049424485,-0.458939224022272,1.86048212786778e-30,ENSG00000100299,410.0,ARSA,0.0298497171650142,0.534203252163125,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
